orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Pennsylvania State Employees Retirement,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Commonwealth of PA Deferred Compensation,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",Wachovia Securities Bank Deposit Sweep,Unknown,Cash/Money Market/Savings/Checking,5006,76000,0,Y,,
D000000126,AFLAC Inc,Insurance,,16002,65000,0,Y,Y,Y
"",iShares DJ Select Dividend Index,Unknown,Mutual Fund,4004,60000,0,Y,,
D000000090,Bank of America,Commercial Banks,,15001,50000,0,Y,Y,
"",Flagstaff Bank/CD,Unknown,Cash/Money Market/Savings/Checking,3003,45000,0,Y,,
"",Ellsworth Conv Growth & Income Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",American Bank/Ssavings,Unknown,Cash/Money Market/Savings/Checking,1002,16000,0,Y,,
"",Alliance Large Cap Growth,Unknown,Mutual Fund,1002,16000,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,1001,15000,0,Y,Y,Y
"",Van Kampen Harbor Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen Government Sec Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Treasury Fund Daily Money Class,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",TIAA-CREF Traditional Long-Term Bond Fnd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",TIAA-CREF Stock Fund 403b Plan,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Powershares Intl Divd Achievers Portfoli,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PIMCO All Asset Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",PA Tap Account 529 Plan-Prepaid Tuition,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Oppenheimer Small & Medium Cap Value Fnd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Quest Opportunity Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nuveen Municipal Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Loomis Sayles Strategic Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",iShares DJ Select Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Gabelli Equity Trust,Unknown,,1001,15000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",American Europacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",AllianceBernstein Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lafayette Ambassador Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,3,3000,0,Y,,
"",Gabelli Utility Trust,Unknown,,1,1000,0,Y,,
"",Gabelli Healthcare & Wellness SRX,Misc Health,,1,1000,0,Y,,
