orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","1791 Erringer Road/Simi Valley, CA",Real Estate,,500001,1000000,0,Y,,
"","1491 Duarte Circle/Simi Valley, CA",Real Estate,,250001,500000,0,Y,,
D000020730,Chase Bank,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
D000030609,Union Bank,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
D000000391,Amgen Inc,Pharm/Health Prod,,50001,100000,0,Y,Y,Y
"",Midland Property Ltd,Real Estate,,15001,50000,0,Y,,
"",John Hancock US Global,Unknown,,15001,50000,0,Y,,
"",Calamos Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BlackRock Value Opportunities Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BlackRock Fundamental Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",AllianceBernstein Grands,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000212,Coca-Cola Co,Food & Beverage,,2002,30000,0,Y,Y,
"",Wells Fargo Keogh,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Pershing IRA/Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Dynamic Realty,Real Estate,,1001,15000,0,Y,,
