orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",TIAA Traditional Fund,Unknown,Mutual Fund,101002,265000,0,Y,,
"",CREF Stock Fund,Securities/Invest,Mutual Fund,101002,265000,0,Y,,
"",Northern Trust Bank,Commercial Banks,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Lake Michigan Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",DFA US Core Equity Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",CREF Real Estate Fund,Real Estate,,100001,250000,0,Y,,
"",CREF Inflation Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",CREF Bond Market Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Macatawa Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Dimensional Advisor Real Estate Securiti,Unknown,,15001,50000,0,Y,,
"",Dimensional Advisor One Year Fixed Inc,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dimensional Advisor Five Year Govt Port,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dimensional Adv Global Fixed Income Port,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA Invt Two Year Global Fixed Income Fd,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA International Core Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA Emerging Markets Core Equity Portfol,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Lake Michigan Credit Union IRA,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000020730,Chase Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
