orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard 500 Index,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Property with Carriage House Rental/DC,Real Estate,,500001,1000000,0,Y,,
"",Vanguard Growth & Income Fund,Unknown,Mutual Fund,100001,251000,0,Y,,
"",Vanguard Small Cap Value Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",UBS Paine Webber  Standard & Poor Deposi,Unknown,"Brokerage, IRA, 401k",100001,250000,0,Y,,
"",T Rowe Price Mid Cap Growth Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Capital Opportunity Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",T Rowe Price Equity Index 500 Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Mutual of America Scudder Capital Growth,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Merrill Lynch CMA Tax Exempt Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Munder Internet Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Vanguard Vanguard 500 Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Vanguard 500 Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",UBS Paine Webber Standard & Poor Deposit,Unknown,Mutual Fund,15001,50000,0,Y,,
"",UBS Paine Webber  Allianz Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Small Cap Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price International Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Royce Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Republic Bank Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",PIMCO Commodity RealReturn Strategy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",First Eagle US Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus Premier Intl Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dreyfus Cash Management Account,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Baron Asset Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Misc Finance,Mutual Fund,15001,50000,0,Y,,
"",Allianz Target Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Science & Technology Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SunTrust Banks/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Republic Bank & Trust Co,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Bank USA RASP,Commercial Banks,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Franklin Mutual European Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Calamos Growth Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",American Century Value Fund,Unknown,Mutual Fund,0,1000,0,Y,,
