orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",MTB Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Kosciouszko Federal Savings Bank Savings,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",T Rowe Price Small-Cap Value Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Real Estate Fund,Real Estate,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Capital Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",M&T Bank/Savings & Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",T Rowe Price Spectrum International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Spectrum Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Simplified Profit-Sharing M,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Prime Money Market Fund,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",T Rowe Price Money Purchase Pension,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Maryland Tax-Free Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mutual Series Discovery Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",M&T Bank/Precious Metal Gold Certificate,Mining,"""Account"" or Combination of other types (I.e.Stocks & Bonds)",1001,15000,0,Y,,
"",International Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Stock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox International Fund,Misc Finance,Mutual Fund,1001,15000,0,Y,,
"",Dodge & Cox Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000033211,Dodge & Cox,Securities/Invest,Mutual Fund,1001,15000,0,Y,,
"",Cerebellum Corp,Unknown,,1001,15000,0,Y,,
"",US Senate Federal Credit Union/Savings,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",T Rowe Price Simp Profit-Sharing Health,Misc Health,,0,1000,0,Y,,
"",Prime Reserve Money Fund,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
"",Charles Schwab Cash Account,Unknown,Cash/Money Market/Savings/Checking,0,1000,0,Y,,
