orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Central St/Somerville, MA",Real Estate,,500001,1000000,0,Y,,
"",SBLI Term Life,Unknown,Insurance policies & Annuities,250001,500000,0,Y,,
"","High Street/Somerville, MA",Real Estate,,250001,500000,0,Y,,
"","Hidden Valley/Tuftonboro, NH",Real Estate,,250001,500000,0,Y,,
"",Windward Aggressive Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Fidelity Export & Multinational Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Fidelity Select National Gas,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Fidelity International Discovery,Unknown,Mutual Fund,15001,50000,0,Y,,
"",CT&M LLC,Unknown,,15001,50000,0,Y,,
"",Fidelity Contrafund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Winter Hill Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Som Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Nationwide Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Nationwide Large Cap Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Van Kampen Growth & Income,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity T Rowe Price Cap Appreciation,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Royce Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity FPA Crescent,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Farm Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Ariel Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Ariel Appreciation Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",East Cambridge Savings Bank,Savings & Loans,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Charles Schwab Cash & Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,2,2000,0,Y,,
"",Nesteggs Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
