orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",New Perspective Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New Economy Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Alliance Growth & Income Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,2002,30000,0,Y,,
"",OCM Gold Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",New World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Kern Schools Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Karpe Mortgage,Real Estate,Unknown,1001,15000,0,Y,,
D000000418,International Game Technology,Casinos/Gambling,,1001,15000,0,Y,Y,Y
"",Golden One Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
D000000477,Duke Energy,Electric Utilities,,1001,15000,0,Y,Y,Y
D000025490,Diageo Plc,"Beer, Wine & Liquor",,1001,15000,0,Y,Y,
"",Calamos Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000023838,Alexander & Baldwin,Sea Transport,,1001,15000,0,Y,Y,Y
