orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Hawaii Employee Retirement System,Unknown,"Brokerage, IRA, 401k",500001,1000000,0,Y,,
"","1122 Elm Street/Honolulu, HI",Real Estate,,250001,500000,0,Y,,
"",T Rowe Price Prime Reserve Money Fund,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Morgan Stanley Liquid Asset Fund,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,65002,150000,0,Y,,
"",Hawaii State Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,50001,100000,0,Y,,
"",T Rowe Price Personal Strategy Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MSIF Limited Duration Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",International Value Equity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Income Fund of America Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bank of the Orient,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",AMCAP Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Western Asset Core Plus Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Van Kampen Comstock Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",US Small Cap Value,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price New Era Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Equity Index,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Equity Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Oppenheimer Global Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MSIF US Real Estate Portfolio,Real Estate,,1001,15000,0,Y,,
"",MSIF US Cap Growth Inst Fka US Large Cap,Unknown,Mutual Fund,1001,15000,0,Y,,
"",MSIF Invest Grade Fix Inc,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Liquid Asset Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",EV Income Fund of Boston,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bond Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Aloha Pacific Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
