orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Valley Bank/CD,Unknown,Cash/Money Market/Savings/Checking,65002,150000,0,Y,,
"",Seligman Communications 401K,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",RGC Resources,Unknown,,50001,100000,0,Y,,
"",New Perspective Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Loomis Sayles Strategic Income Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Janus Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Franklin Balanced Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",First Eagle Global Fund 401k,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",American Funds Tax Exempt Bond Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Hartford Capital Appreciation Fund,Unknown,Mutual Fund,16002,65000,0,Y,,
"",Davis New York Venture Fund,Securities/Invest,Mutual Fund,16002,65000,0,Y,,
"",UTS Government Secs Inc,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price S&P Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Pioneer Global High Yield Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",MFS Virginia Municipal Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Loomis Sayles Investment Grade Bond Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Glenn, Feldman et al",Unknown,,15001,50000,0,Y,,
"",First Citizens Bank/Checking & Savings,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",DNP Select Income Fund,Unknown,,15001,50000,0,Y,,
"",Davenport Prime Cash Trust,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Bond Fund of America 401k,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Blackrock Global Fund,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",BlackRock Equity Trust,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Bankers Trust Market Lnk 401k,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Capital Income Builder Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",SunTrust Banks IRA,Unknown,"Brokerage, IRA, 401k",2002,30000,0,Y,,
"",Valley Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Templeton Foreign Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",SunTrust/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",SunTrust Banks/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Nicholas Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000198,Massachusetts Mutual Life Insurance,Insurance,Insurance policies & Annuities,1001,15000,0,Y,Y,Y
"",Independent National Mortgage Corp,Real Estate,,1001,15000,0,Y,,
"",Greenwood Trust Co,Commercial Banks,,1001,15000,0,Y,,
"",Eaton Vance Ltd Duration 401k,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davenport Prime Cash Trust IRA,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of America/Savings,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Merrill Lynch Retr Res IRA,Unknown,"Brokerage, IRA, 401k",1,1000,0,Y,,
"",Ginnie Mae Bond,Real Estate,,1,1000,0,Y,,
