orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Hartzler Farms,Crop Production,,1000001,5000000,0,Y,,
"",Hartzler Equipment,Agricultural Svcs,,1000001,5000000,0,Y,,
"",S East Outer Rd,Real Estate,,500001,1000000,0,Y,,
"",Farm Real Estate/29615 S Hartzler Rd,Real Estate,,500001,1000000,0,Y,,
"",S State Rt TT,Real Estate,,215003,550000,0,Y,,
"",Farm Real Estate/26005 E 283rd St,Real Estate,,250001,500000,0,Y,,
"",29700 S Hartzler Road,Real Estate,,250001,500000,0,Y,,
"",South Pleasant Ridge Road,Real Estate,,100001,250000,0,Y,,
"",KLD Farms,Livestock,,100001,250000,0,Y,,
"",Farm Real Estate/E 291st St,Crop Production,,100001,250000,0,Y,,
"",E 299th St,Real Estate,,100001,250000,0,Y,,
"",30218 S Pleasant Rdg Rd,Real Estate,,100001,250000,0,Y,,
"",Missouri Public School Retirement System,Unknown,"Brokerage, IRA, 401k",50001,100000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Missouri Deferred Compensation Plan,Unknown,"Brokerage, IRA, 401k",15001,50000,0,Y,,
"",Heartland Aviation LLC,Air Transport,,15001,50000,0,Y,,
"",Community Bank,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Calvert Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",American Funds American Balanced Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",One America,Insurance,,1001,15000,0,Y,,
"",Deposit Account,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Investment Co of America,Unknown,Mutual Fund,1001,15000,0,Y,,
