orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Crowell Weedon/Savings,Unknown,Cash/Money Market/Savings/Checking,65002,150000,0,Y,,
"",Signal Hill Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Tristar Capital,Unknown,,1001,15000,0,Y,,
"",OC Teachers Credit Union/Savings-Chkg,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",LACTFS Bond,Unknown,Government Bond,1001,15000,0,Y,,
D000000804,Intel Corp,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
D000000461,Comcast Corp,Telecom Svcs,,1001,15000,0,Y,Y,
D000000071,Citigroup Inc,Commercial Banks,,1001,15000,0,Y,Y,
D000000374,Cisco Systems,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",Congressional Federal Credit Union,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
