orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Vanguard Dividend Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Profit Funds Mutual Funds,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Northeast Investors Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Harbor Capital Appreciation Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Dodge & Cox Stock Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000021757,Berkshire Hathaway,Securities/Invest,,15001,50000,0,Y,Y,
D000029955,YUM! Brands,Food & Beverage,,1001,15000,0,Y,Y,
"",Washington Mutual Investors Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Total Stock Market Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Consumer Staples ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Vanguard Consumer Discretionary Vipers,Unknown,Mutual Fund,1001,15000,0,Y,,
"",T Rowe Price Blue Chip Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000030251,Sysco Corp,Food Process/Sales,,1001,15000,0,Y,,
"",SSgA Emerging Markets Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Spdr Dow Jones Industrial ETF,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Royce Value Trust Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Ranier Mid Cap Equity Portfolio Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000000485,Procter & Gamble,Misc Mfg/Distrib,,1001,15000,0,Y,Y,
D000028430,Praxair Inc,Chemicals,,1001,15000,0,Y,Y,
"",Pimco Pac Invt Diversified Inc Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Paychex Inc,Business Services,,1001,15000,0,Y,,
"",Oppenheimer International Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Northeast Investors Trust Fund,Misc Finance,Mutual Fund,1001,15000,0,Y,,
D000064935,National Oilwell Varco,Oil & Gas,,1001,15000,0,Y,Y,
"",Nasdaq Premium Income & Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Metropolitan West Total Return Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual T Rowe Price Mid Cap Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual Panorama Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual Panorama Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual Oppenheimer Main Street G&I,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mass Mutual Oppenheimer Core Bond Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",Mass Mutual American Century Inc/Growth,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Mairs & Power Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Liberty All Star Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Special Inv Trust Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Growth Trust,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Legg Mason Emerging Markets Trust Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000022068,L-3 Communications,Defense Electronics,,1001,15000,0,Y,Y,
"",JPMorgan Core Bond Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000026492,HJ Heinz Co,Food Process/Sales,,1001,15000,0,Y,Y,
"",Harbor International Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Harbor Global Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000022008,Google Inc,Internet,,1001,15000,0,Y,Y,
"",Fidelity VIP Contrafund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Convertible Securities Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Domini Social Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Domini International Social Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000032736,Colgate-Palmolive Co,Pharm/Health Prod,,1001,15000,0,Y,Y,
"",Coinstar,Unknown,,1001,15000,0,Y,,
"",Capital World Growth & Income Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Capital Income Builder Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000024598,Campbell Soup,Food Process/Sales,,1001,15000,0,Y,Y,
"",Bridgeway Blue Chip 35 Ind Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Blackrock Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
D000045945,Avery Dennison Corp,Chemicals,,1001,15000,0,Y,,
D000031719,Automatic Data Processing Inc,Business Services,,1001,15000,0,Y,Y,
D000021754,Apple Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,Y,
"",American Funds Small Cap World Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds New Economy Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Income Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Fundamental Investors Fd,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds EuroPacific Growth Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Funds Balanced Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",American Capital Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
