orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","549 S Lucerne/LA, California",Real Estate,,1000001,5000000,0,Y,,
"",American Golf Joint Venture,Recreation,,200002,500000,0,Y,,
"",Oneunited Bank,Commercial Banks,,115002,300000,0,Y,,
"",ML: Blackrock Global,Unknown,Mutual Fund,100001,250000,0,Y,,
"",ML: Blackrock Balanced,Unknown,Mutual Fund,100001,250000,0,Y,,
"",DWS CA Tax Free Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000019566,Wells Fargo Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Tract Unit 3357 Lot 96/CA,Real Estate,,1001,15000,0,Y,,
D000063395,"Siebert, Brandford et al",Securities/Invest,,1001,15000,0,Y,,
"",ECI Holding Inc,Electronics Mfg/Eqp,,1001,15000,0,Y,,
"",Congressional Federal Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",701 W Barstow/California,Real Estate,,1001,15000,0,Y,,
"",2201 Kirk St/Houston,Real Estate,,1001,15000,0,Y,,
"",FIA Card Services (IRA),Unknown,"Brokerage, IRA, 401k",1,1000,0,Y,,
