orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","House Property/Miami, FL",Real Estate,,250001,500000,0,Y,,
"",Commercial Bank of Florida,Commercial Banks,Cash/Money Market/Savings/Checking,51002,115000,0,Y,,
"",Royal West Properties Loan,Unknown,Note/Note Receivable,15001,50000,0,Y,,
"",Alliance Premier Growth Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Nokia Corp,Telecom Svcs,,1001,15000,0,Y,,
"",Metro Bank,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Florida State Retirement Plan,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Community Bank of Homestead IRAs,Unknown,"Brokerage, IRA, 401k",1001,15000,0,Y,,
"",Community Bank of Homestead,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Mega Bank,Commercial Banks,,1,1000,0,Y,,
"",Bank Atlantic,Commercial Banks,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
