orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"","Property/Washington, DC",Real Estate,,500001,1000000,0,Y,,
"",TIAA-CREF,Securities/Invest,Unknown,200002,500000,0,Y,,
"","House Salmon Beach 82/Tacoma, WA",Real Estate,,250001,500000,0,Y,,
D000063855,Universal Forest Products,Forest Products,,16002,65000,0,Y,,
D000029185,Staples Inc,Retail Sales,,16002,65000,0,Y,Y,
D000028403,Polaris Industries,Misc Transport,,16002,65000,0,Y,,
D000022164,NVR Inc,Home Builders,,16002,65000,0,Y,,
"",Donaldson Co,Misc Mfg/Distrib,,16002,65000,0,Y,,
"",UBS Bank USA Money Fund,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
D000037780,Starbucks Corp,Food & Beverage,,15001,50000,0,Y,Y,
"",Municipal LLC Growth,Unknown,Mutual Fund,15001,50000,0,Y,,
D000000115,Microsoft Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,Y
D000000804,Intel Corp,Electronics Mfg/Eqp,,15001,50000,0,Y,Y,
D000050907,First Industrial Realty Trust,Real Estate,,15001,50000,0,Y,,
D000059072,CharterMac,Real Estate,,15001,50000,0,Y,Y,
D000023867,Allied Capital,Securities/Invest,,15001,50000,0,Y,Y,
D000059579,SEI Investments,Misc Finance,,2002,30000,0,Y,,
D000024208,Autozone Inc,Automotive,,2002,30000,0,Y,,
"",Winnebago Industries,Misc Transport,,1001,15000,0,Y,,
"",Wachovia Securities Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",UBS Global Account,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Hartford Advisers Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Davis New River Core Equity Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Bank of America/Checking,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",AIM Group Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Congressional FCU/Savings,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
"",Congressional FCU/Checking,Unknown,Cash/Money Market/Savings/Checking,1,1000,0,Y,,
