orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Rehberg Ranch Land & Livestock,Livestock,,5000001,25000000,0,Y,,
"",Rehberg Ranch,Livestock,,5000001,25000000,0,Y,,
"",Rehberg Ranch Marketing,Real Estate,,1250002,5500000,0,Y,,
"",Lenhardt Farm LLC,Crop Production,,500001,1000000,0,Y,,
"","Rental Property/Billings, MT",Real Estate,,350002,750000,0,Y,,
"",Northern Prime Obligation Service Class,Unknown,Mutual Fund,50001,100000,0,Y,,
"",American Washington Mutual Investors,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds New Perspective Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Western Security Bank Deposits,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Teigen Minerals LLC,Mining,,1001,15000,0,Y,,
"",Stockman Bank Deposits,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
