orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Excepted Trust (fn),Unknown,"Brokerage, IRA, 401k",200002,500000,0,Y,,
"",SPDR Trust Series 1,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Vanguard Euro Stock Index,Unknown,Mutual Fund,50001,100000,0,Y,,
D000000090,Bank of America,Commercial Banks,Cash/Money Market/Savings/Checking,50001,100000,0,Y,Y,Y
"",Vanguard Energy Fund,Misc Energy,,15001,50000,0,Y,,
"",US Global Inv Global Resources Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Threadneedle VP Emerging Market Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price New Era Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price New Asia Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price Japan Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",T Rowe Price International Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Seligman Global Technology Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Schwab AMT Tax-Free Money Market,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Riversource Variable Universal Life,Unknown,Insurance policies & Annuities,15001,50000,0,Y,,
"",Riversource Dividend Opportunity Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Oakmark International Small Cap Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Morgan Stanley US Real Estate,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Morgan Stanley International Real Estate,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Matthews Pacific Tiger Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",JPMorgan US Real Estate Fund,Real Estate,Mutual Fund,15001,50000,0,Y,,
"",iShares S&P Small Cap Ind Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA International Small Co Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",DFA Global Fixed Income 1 yr,Unknown,Mutual Fund,15001,50000,0,Y,,
"",BlackRock Latin America Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Royce Premier Fund,Unknown,Mutual Fund,2002,30000,0,Y,,
"",Vanguard Short Term Tax Exempt Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Schwab Advantage Cash Reserve,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Royce Total Return Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Riversource Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lord Abbett Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Lord Abbett Bond Debenture Fund,Unknown,Government Bond,1001,15000,0,Y,,
"",JPMorgan Small Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
"",Fidelity Canada Fund,Unknown,Mutual Fund,1001,15000,0,Y,,
