orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Real Estate/1500 Acres Farmland/Berkeley,Crop Production,,1000001,5000000,0,Y,,
"",First Citizens/CD,Unknown,Cash/Money Market/Savings/Checking,1000001,5000000,0,Y,,
"",IJK Properties,Unknown,Note/Note Receivable,250001,500000,0,Y,,
"",First Citizens Money Market,Unknown,Cash/Money Market/Savings/Checking,250001,500000,0,Y,,
"",Rental Real Estate,Real Estate,,150002,350000,0,Y,,
"",First Federal/CD,Unknown,Cash/Money Market/Savings/Checking,150002,350000,0,Y,,
"","Real Estate/Washington, DC",Real Estate,,100001,250000,0,Y,,
"","Real Estate/Hanahan, SC",Real Estate,,100001,250000,0,Y,,
"",Federal Thrift Savings Plan/Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"","Real Estate/6.5 acres/Moncks Corner, SC",Real Estate,,50001,100000,0,Y,,
D000021573,Wachovia Corp,Commercial Banks,,15001,50000,0,Y,Y,Y
"",Purvis Corner LLC,Unknown,Note/Note Receivable,15001,50000,0,Y,,
D000000125,General Electric,Misc Mfg/Distrib,,15001,50000,0,Y,Y,
"",Winstream,Unknown,,1001,15000,0,Y,,
"",NBSC Money Market,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Congressional FCU/Cash,Unknown,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
"",Bank of America/Cash,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,Y,,
